dataset,cifar10
model,resnet18
batch_size,256
epochs,200
learning_rate,0.25
data_augmentation,True
cutout,False
n_holes,1
length,16
no_cuda,False
seed,0
beta,1.0
cutmix_prob,0.5
cuda,True

epoch,train_acc,test_acc
0,12.732,19.689999999999998
1,22.900000000000002,28.65
2,30.396,37.46
3,36.19,44.09
4,40.454,47.21
5,47.089999999999996,53.31
6,52.146,50.74999999999999
7,55.188,49.88
8,58.862,60.62
9,58.919999999999995,65.9
10,64.116,70.36
11,64.434,72.89999999999999
12,67.2,63.24999999999999
13,66.852,75.58
14,68.092,74.56
15,68.188,70.83
16,69.856,66.64999999999999
17,70.506,75.2
18,69.248,69.07
19,70.19800000000001,74.92
20,69.52000000000001,75.96000000000001
21,69.342,69.74000000000001
22,72.354,76.74
23,69.94399999999999,63.59
24,71.758,75.0
25,70.48,67.58
26,70.85000000000001,75.13
27,72.258,76.63
28,73.27,76.21
29,72.72,79.65
30,70.664,78.56
31,72.98599999999999,79.67
32,70.68799999999999,76.29
33,71.936,72.34
34,70.048,66.67999999999999
35,75.512,75.68
36,68.95599999999999,68.06
37,71.88,74.21
38,72.524,77.34
39,72.81800000000001,74.13
40,70.80199999999999,75.52
41,74.304,74.74
42,73.142,72.91
43,72.662,80.13
44,72.744,74.02
45,74.82,68.61
46,72.418,79.36
47,69.742,75.9
48,69.226,69.1
49,70.91199999999999,75.94
50,73.932,76.92999999999999
51,71.146,74.95
52,75.30799999999999,76.39
53,73.112,74.96000000000001
54,74.516,78.18
55,70.708,77.73
56,74.03,79.94
57,72.268,80.12
58,71.468,72.44
59,72.978,82.62
60,74.434,59.540000000000006
61,75.92,90.03999999999999
62,80.72200000000001,90.55
63,77.054,90.66
64,82.84,90.10000000000001
65,79.59,89.71000000000001
66,80.188,90.0
67,83.028,89.14
68,80.72200000000001,89.42999999999999
69,79.758,91.4
70,79.52799999999999,90.92
71,81.462,89.99000000000001
72,80.74799999999999,90.16
73,81.982,90.05
74,80.43599999999999,90.44
75,79.80000000000001,89.53
76,80.54,88.72
77,79.23,90.32
78,79.096,89.47
79,79.168,89.01
80,81.812,88.11
81,81.636,86.37
82,81.22,89.22
83,81.476,88.63
84,79.44200000000001,89.84
85,84.416,89.98
86,79.134,89.53
87,79.28,88.27000000000001
88,84.66799999999999,89.2
89,83.67999999999999,88.82
90,80.822,87.0
91,79.986,90.35
92,81.974,89.32
93,81.036,90.63
94,82.68799999999999,89.14
95,82.228,88.48
96,80.022,90.01
97,83.33,90.67
98,80.58,88.25
99,82.352,90.12
100,81.85,88.6
101,82.07799999999999,90.39
102,79.12599999999999,90.57
103,80.52,88.68
104,80.71199999999999,90.62
105,80.516,90.72
106,80.694,91.47999999999999
107,83.316,90.22
108,82.41199999999999,91.66
109,79.874,90.14999999999999
110,83.67,89.31
111,83.128,88.06
112,82.402,91.25
113,78.17399999999999,89.44
114,80.042,91.13
115,81.568,90.09
116,80.906,90.06
117,84.624,90.42999999999999
118,82.382,89.91
119,80.67800000000001,89.03
120,83.966,89.31
121,86.188,94.11
122,83.414,94.26
123,83.506,94.48
124,87.306,94.28999999999999
125,87.688,94.57
126,86.862,94.39999999999999
127,86.104,94.63000000000001
128,85.938,94.84
129,86.212,95.05
130,84.46000000000001,94.87
131,88.068,94.69999999999999
132,84.502,94.28
133,87.42,94.8
134,86.488,94.89
135,86.60600000000001,94.82000000000001
136,87.656,94.67
137,86.32600000000001,95.02000000000001
138,87.004,94.86
139,88.81,94.92
140,86.044,94.63000000000001
141,85.13,94.99
142,84.784,94.25
143,86.676,94.78
144,86.654,94.58
145,87.394,94.86
