dataset,cifar10
model,resnet50
batch_size,128
epochs,200
learning_rate,0.1
data_augmentation,True
cutout,False
n_holes,1
length,16
no_cuda,False
seed,0
beta,1.0
cutmix_prob,0.5
cuda,True
""
epoch,train_acc,test_acc
0,22.387999999999998,37.12
1,35.046,40.69
2,42.196,50.41
3,49.53,61.41
4,55.138,61.69
5,58.153999999999996,59.67
6,59.366,67.13
7,63.684,68.78
8,62.47200000000001,73.81
9,66.392,71.3
10,64.154,73.07000000000001
11,67.744,73.87
12,68.858,72.72999999999999
13,67.854,62.260000000000005
14,69.516,77.79
15,70.014,74.8
16,69.054,72.87
17,69.304,77.86999999999999
18,71.268,78.86999999999999
19,69.45,72.47
20,70.194,78.48
21,71.58200000000001,73.17
22,71.026,83.02000000000001
23,71.798,77.34
24,70.738,76.3
25,70.16799999999999,78.16
26,72.112,75.52
27,71.024,76.58
28,72.044,81.61
29,72.662,79.36999999999999
30,72.57000000000001,73.57000000000001
31,72.078,76.97
32,71.87,80.2
33,72.18,80.45
34,73.298,76.86
35,71.548,78.08
36,73.52199999999999,78.91
37,74.39,77.63
38,71.568,76.37
39,72.244,77.23
40,73.764,79.73
41,72.662,79.42
42,73.536,80.67999999999999
43,74.482,78.97999999999999
44,72.94,79.61
45,71.186,77.79
46,73.41,79.38
47,72.81400000000001,82.95
48,73.872,81.41000000000001
49,74.18,82.97
50,72.1,79.81
51,72.8,78.51
52,72.524,78.99000000000001
53,73.624,71.41999999999999
54,73.942,84.61999999999999
55,73.35199999999999,83.67999999999999
56,74.2,80.95
57,73.59599999999999,72.49
58,74.258,82.6
59,73.874,81.10000000000001
60,73.81,82.62
61,78.782,91.38
62,80.06,91.36999999999999
63,81.908,91.61
64,80.152,92.16
65,82.49600000000001,92.49000000000001
66,80.4,90.25
67,80.804,90.57
68,81.148,91.95
69,80.282,90.27
70,79.186,91.92
71,81.03399999999999,91.38
72,81.574,90.84
73,80.52,91.27
74,81.214,90.16999999999999
75,82.262,90.34
76,82.958,92.01
